Quadrat,Lat,Long,Elev,MTAnn,Isoth,MnTCP,T_AR,MTWetQ,MTDQ,MTClQ,Pann,PWetP,PSeas,PWrQ,EC,pH,OrgC,NTOT,PTOT,Pav,Kav,Mg,Ca,K,Clay,Silt,Sand,Stype,Sdep,ibra
GP08,-33.3858,121.5822,179,15.8,0.54,5.5,23,11.8,20.6,11,397,49,35,65,7,7.6,1.2,0.041,13,0.2,71,0.98,4.22,0.15,1.1,2.5,96.4,4,2,Mallee
GP09,-33.5172,121.5592,143,15.9,0.54,5.9,22.2,11.3,20.4,11.3,445,56,40,66,24,8,1.1,0.044,17,0.2,170,1.54,2.9,0.36,2,3.3,94.7,4,3,Mallee
GP10,-33.5089,121.4669,144,15.9,0.54,5.9,22.2,11.3,20.5,11.3,439,54,39,66,20,7.9,1.09,0.051,23,3,290,2.57,17.17,0.79,4.4,5.1,90.4,4,2,Esperance Plains
GP12,-33.4753,121.2361,171,15.9,0.54,5.8,22.5,11.2,20.5,11.2,415,50,35,68,4,6.4,0.97,0.038,12,0.2,59,0.81,2.56,0.1,3.2,1.5,95.4,4,1,Mallee
GP13,-33.7225,121.0656,76,16.2,0.55,6.6,21.2,11.9,20.5,11.9,501,64,43,70,4,5.6,0.67,0.03,14,2,65,0.42,1.11,0.11,2.7,2.2,95.2,2,2,Esperance Plains
GP14,-33.3932,121.6507,184,15.7,0.54,5.4,23,11.8,20.5,11,399,49,35,65,6,6.4,0.96,0.043,25,2,58,0.35,1.8,0.12,1.7,1.4,96.9,4,5,Mallee
GP15,-33.1628,120.9702,233,16,0.54,5.3,24.1,11.8,21.1,10.9,325,38,27,52,33,8.1,1.49,0.097,64,4,340,1.74,8.08,0.77,2.2,2.1,95.7,1,9,Mallee
GP16,-33.1609,120.9939,231,16,0.54,5.3,24.1,11.8,21.1,10.9,325,38,27,52,120,8.5,2.86,0.209,92,6,710,8.26,14.84,2.23,2.3,4.1,93.6,4,4,Mallee
GP17,-33.1515,121.2073,215,16,0.54,5.2,24.3,11.7,21.1,10.9,333,39,27,54,250,8.4,4.2,0.277,140,14,1100,9.4,13.34,2.46,3.4,3.6,93,4,4,Mallee
GP18,-33.6853,120.7778,121,16.1,0.55,6.5,21.6,12.6,20.5,11.7,480,58,39,72,6,6.5,1.57,0.053,33,2,120,1.81,2.36,0.32,3,4.4,92.6,2,1,Esperance Plains
GP19,-33.6617,120.8017,142,16.1,0.55,6.3,21.7,12.4,20.5,11.6,473,57,38,73,8,6,1.68,0.108,83,2,100,0.94,1.48,0.18,3.6,3.5,93,5,1,Esperance Plains
GP20,-33.5118,120.5866,175,16.1,0.54,6.2,22.5,12.3,20.7,11.5,412,49,34,57,7,7,2.26,0.079,35,2,180,2.52,6.98,0.46,1.5,2.8,95.7,4,2,Mallee
GP21,-33.4948,120.5985,186,16.1,0.54,6.1,22.5,12.3,20.7,11.4,408,49,34,57,2,5.8,0.69,0.023,12,0.2,20,0.18,0.88,0.04,1.3,1.1,97.6,1,9,Mallee
GP22,-33.4753,120.6127,200,16,0.54,6,22.6,12.2,20.7,11.3,403,48,33,57,1,6.2,0.45,0.019,11,0.2,26,0.06,0.5,0.03,1.7,1.8,96.5,2,2,Mallee
GP23,-33.3711,120.7806,215,16,0.54,5.8,23.1,12,20.8,11.1,368,43,30,54,10,6.2,2.23,0.089,58,5,87,2.31,3.63,0.15,4.2,2.3,93.5,4,2,Mallee
GP24,-33.3563,121.0276,235,15.8,0.54,5.5,23.2,10.9,20.6,10.9,365,41,29,54,2,6.4,0.99,0.039,25,0.2,100,0.7,2.21,0.15,2.5,3.7,93.8,2,2,Mallee
GP25,-33.2692,121.6428,201,15.8,0.54,5.2,23.7,11.6,20.7,10.8,365,44,32,59,5,7.5,1.03,0.055,37,2,170,2.37,6.64,0.39,0.2,2.2,97.6,4,2,Mallee
HY01,-32.6319,118.9944,391,15.9,0.51,4.2,27.1,10.9,20.7,10,348,53,49,46,4,6.3,1.25,0.044,46,2,73,0.87,2.26,0.12,1.3,2.4,96.4,4,2,Mallee
HY03,-32.6444,118.9864,394,15.9,0.51,4.2,27.1,10.9,20.7,9.9,349,53,49,46,15,6.5,2.1,0.085,84,4,290,4.5,5.29,0.61,0.3,1.8,98,4,2,Mallee
HY04,-32.6908,118.975,397,15.8,0.51,4.2,27,10.9,20.6,9.9,350,54,49,45,4,6.1,0.99,0.03,17,0.2,120,0.66,1.19,0.24,1.2,2.3,96.6,2,1,Mallee
HY05,-32.7597,119.0019,420,15.6,0.51,4.2,26.7,10.8,20.3,9.8,354,54,49,46,5,6.2,1.63,0.046,22,0.2,78,0.72,3.68,0.15,2.7,3.3,94,2,3,Mallee
HY06,-32.7694,119.0089,423,15.6,0.51,4.2,26.7,10.7,20.3,9.8,354,54,49,47,2,6.1,0.69,0.025,10,0.2,35,0.21,1.03,0.05,3.2,4.3,92.5,1,9,Mallee
HY07,-32.7778,119.2336,422,15.7,0.51,4.3,26.4,10.8,20.2,9.9,347,51,45,48,2,6.1,0.43,0.022,18,0.2,32,0.11,0.75,0.03,1.2,1.5,97.2,1,1,Mallee
HY09,-32.9139,119.4756,339,16,0.52,4.8,25.7,11.4,20.3,10.4,327,46,41,48,5,5.7,0.53,0.024,14,0.2,73,0.49,0.91,0.15,2.7,2.5,94.8,1,9,Mallee
